Institution Name,State,Year,Revenue
Angelo State University,Texas,2014,121996105
Angelo State University,Texas,2013,116702226
Angelo State University,Texas,2012,131672750
Angelo State University,Texas,2011,153338924
Angelo State University,Texas,2010,112083581
Angelo State University,Texas,2009,88398907
Angelo State University,Texas,2008,93385805
Angelo State University,Texas,2007,87289060
Angelo State University,Texas,2006,91757018
Angelo State University,Texas,2005,74315729
Angelo State University,Texas,2004,72284326
Angelo State University,Texas,2003,90565966
Angelo State University,Texas,2002,69284428
Appalachian State University,North Carolina,2022,563375550
Appalachian State University,North Carolina,2021,545103268
Appalachian State University,North Carolina,2020,457619857
Appalachian State University,North Carolina,2019,465409496
Appalachian State University,North Carolina,2018,472303135
Appalachian State University,North Carolina,2017,427498925
Appalachian State University,North Carolina,2016,399340975
Appalachian State University,North Carolina,2015,380343483
Appalachian State University,North Carolina,2014,378616534
Appalachian State University,North Carolina,2013,374998999
Appalachian State University,North Carolina,2012,367100597
Appalachian State University,North Carolina,2011,375011027
Appalachian State University,North Carolina,2010,354555349
Appalachian State University,North Carolina,2009,317552329
Appalachian State University,North Carolina,2008,323771446
Appalachian State University,North Carolina,2007,307179483
Appalachian State University,North Carolina,2006,262705373
Appalachian State University,North Carolina,2005,270735378
Appalachian State University,North Carolina,2004,240242598
Appalachian State University,North Carolina,2003,218868164
Appalachian State University,North Carolina,2002,201819941
Arapahoe Community College,Colorado,2022,77385637
Arapahoe Community College,Colorado,2021,70350000
Arapahoe Community College,Colorado,2020,73787144
Arapahoe Community College,Colorado,2019,60384254
Arapahoe Community College,Colorado,2018,56257336
Arapahoe Community College,Colorado,2017,53468086
Arapahoe Community College,Colorado,2016,49276536
Arapahoe Community College,Colorado,2015,48729212
Arapahoe Community College,Colorado,2014,46827142
Arapahoe Community College,Colorado,2013,46476721
Arapahoe Community College,Colorado,2012,45561062
Arapahoe Community College,Colorado,2011,43709530
Arapahoe Community College,Colorado,2010,39214310
Arapahoe Community College,Colorado,2009,35835678
Arapahoe Community College,Colorado,2008,35428252
Arapahoe Community College,Colorado,2007,33977147
Arapahoe Community College,Colorado,2006,32012220
Arapahoe Community College,Colorado,2005,30959964
Arapahoe Community College,Colorado,2004,30978300
Arapahoe Community College,Colorado,2003,29452947
Arapahoe Community College,Colorado,2002,30291735
Arizona State University Campus Immersion,Arizona,2022,3487211000
Arizona State University Campus Immersion,Arizona,2021,3368337000
Arizona State University Campus Immersion,Arizona,2020,2971519000
Arizona State University Campus Immersion,Arizona,2019,2805859000
Arizona State University Campus Immersion,Arizona,2018,2583781000
Arizona State University Campus Immersion,Arizona,2017,2441843000
Arizona State University Campus Immersion,Arizona,2016,2289028000
Arizona State University Campus Immersion,Arizona,2015,2117290000
Arizona State University Campus Immersion,Arizona,2014,1962434000
Arizona State University Campus Immersion,Arizona,2013,1799206000
Arizona State University Campus Immersion,Arizona,2012,1736054000
Arizona State University Campus Immersion,Arizona,2011,1705041000
Arizona State University Campus Immersion,Arizona,2010,1607184000
Arizona State University Campus Immersion,Arizona,2009,1523190000
Arizona State University Campus Immersion,Arizona,2008,1470975000
Arizona State University Campus Immersion,Arizona,2007,1139879000
Arizona State University Campus Immersion,Arizona,2006,1043546000
Arizona State University Campus Immersion,Arizona,2005,939787000
Arizona State University Campus Immersion,Arizona,2004,838414000
Arizona State University Campus Immersion,Arizona,2003,760471000
Arizona State University Campus Immersion,Arizona,2002,757889000
Arkansas State University,Arkansas,2022,236522228
Arkansas State University,Arkansas,2021,245013177
Arkansas State University,Arkansas,2020,226330529
Arkansas State University,Arkansas,2019,215123593
Arkansas State University,Arkansas,2018,214028272
Arkansas State University,Arkansas,2017,209675316
Arkansas State University,Arkansas,2016,218955631
Arkansas State University,Arkansas,2015,215074842
Arkansas State University,Arkansas,2014,210399761
Arkansas State University,Arkansas,2013,202804498
Arkansas State University,Arkansas,2012,209483473
Arkansas State University,Arkansas,2011,212893533
Arkansas State University,Arkansas,2010,196741254
Arkansas State University,Arkansas,2009,194423789
Arkansas State University,Arkansas,2008,172575970
Arkansas State University,Arkansas,2007,158743790
Arkansas State University,Arkansas,2006,153844143
Arkansas State University,Arkansas,2005,142333020
Arkansas State University,Arkansas,2004,139427363
Arkansas State University,Arkansas,2003,128424147
Arkansas State University,Arkansas,2002,151090951
Arkansas Tech University,Arkansas,2022,155257576
Arkansas Tech University,Arkansas,2021,146089861
Arkansas Tech University,Arkansas,2020,159900989
Arkansas Tech University,Arkansas,2019,139486870
Arkansas Tech University,Arkansas,2018,142861585
Arkansas Tech University,Arkansas,2017,137368535
Arkansas Tech University,Arkansas,2016,139354827
Arkansas Tech University,Arkansas,2015,136090097
Arkansas Tech University,Arkansas,2014,134624023
Arkansas Tech University,Arkansas,2013,125978395
Arkansas Tech University,Arkansas,2012,124493762
Arkansas Tech University,Arkansas,2011,118588209
Arkansas Tech University,Arkansas,2010,100846832
Arkansas Tech University,Arkansas,2009,98334511
Arkansas Tech University,Arkansas,2008,92788659
Arkansas Tech University,Arkansas,2007,83879912
Arkansas Tech University,Arkansas,2006,77025759
Arkansas Tech University,Arkansas,2005,66238691
